timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2022-01-03,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-04,0.0,1000000.0,0.0,996959.1770503159,0.003040822949684056
2022-01-05,0.0,1000000.0,0.0,976416.5619737732,0.020605272060709487
2022-01-06,0.0,1000000.0,0.0,973782.0445712119,0.0026981490330681905
2022-01-07,0.0,1000000.0,0.0,966339.804394992,0.007642613886454515
2022-01-10,0.0,1000000.0,0.0,964233.6210927332,0.0021795472903832843
2022-01-11,0.0,1000000.0,0.0,973003.43978602,-0.009095118134698876
2022-01-12,0.0,1000000.0,0.0,978792.1091726512,-0.005949279468019442
2022-01-13,0.0,1000000.0,0.0,960514.9649605263,0.01867316260607578
2022-01-14,0.0,1000000.0,0.0,961328.1981361993,-0.0008466637224192978
2022-01-18,0.0,1000000.0,0.0,943607.8514136719,0.01843319144999937
2022-01-19,0.0,1000000.0,0.0,935826.8203691727,0.0082460431341705
2022-01-20,0.0,1000000.0,0.0,927193.7266578849,0.009225097553714211
2022-01-21,0.0,1000000.0,0.0,906178.7625776858,0.022665127552090446
2022-01-24,0.0,1000000.0,0.0,906986.3195106188,-0.0008911673571293299
2022-01-25,0.0,1000000.0,0.0,896046.1781959101,0.012062079746265246
2022-01-26,0.0,1000000.0,0.0,901475.0367740516,-0.006058681695481397
2022-01-27,0.0,1000000.0,0.0,895278.5837697162,0.006873682300188278
2022-01-28,0.0,1000000.0,0.0,925732.0783392218,-0.03401566296970501
2022-01-31,0.0,1000000.0,0.0,947211.804901878,-0.02320296235298566
2022-02-01,0.0,1000000.0,0.0,956388.7954025506,-0.009688424968081392
2022-02-02,0.0,1000000.0,0.0,968161.6367398292,-0.012309681370036844
2022-02-03,0.0,1000000.0,0.0,932847.1677283266,0.036475798742057086
2022-02-04,0.0,1000000.0,0.0,943051.4452036509,-0.010938852395482564
2022-02-07,0.0,1000000.0,0.0,935435.499108375,0.008075854328001212
