date,open,high,low,close,volume
2024-06-03,136.85,138.48,135.7,136.93,7549696.0
2024-06-04,137.2,139.06,135.6,137,7627449.0
2024-06-05,137.22,137.3,128.41,134.29,15919826.0
2024-06-06,133.94,135.85,131.835,132.04,8261026.0
2024-06-07,131.06,132.6,130.08,131.21,4355403.0
2024-06-10,129.53,130,125.89,126.76,10827256.0
2024-06-11,128.75,130.6365,127.15,128.48,10559383.0
2024-06-12,130.66,133.38,129.15,130.33,8926949.0
2024-06-13,129.76,129.91,125.88,125.9,8837915.0
2024-06-14,126.1,128.89,124.69,127.17,6820093.0
2024-06-17,126.46,131.7899,125.65,130.67,6477642.0
2024-06-18,130.11,131.1384,126.56,127.6,5982688.0
2024-06-20,127,127.4,125.32,126.62,6156742.0
2024-06-21,125.68,128.27,124.7,127.8,13046976.0
2024-06-24,126.69,126.9751,124.4,124.8,6863383.0
2024-06-25,125,125.8,122.6,124.21,9696437.0
2024-06-26,123.68,130.82,122.68,129.13,10888456.0
2024-06-27,129.13,134.6399,128.68,133.92,8461989.0
2024-06-28,133.55,135.73,133.55,135.09,8129297.0
2024-07-01,138.32,142.97,135.73,142.77,9889092.0
2024-07-02,142.66,144.68,140.695,141.92,6648560.0
2024-07-03,141.96,143.72,140.7101,142.86,3290913.0
2024-07-05,142.98,146.46,142.61,143.02,5477983.0
2024-07-08,143.31,143.4359,140.89,141.57,4480577.0
2024-07-09,140.37,141.36,136.26,137.46,6558042.0
2024-07-10,137.46,137.98,133.17,137.5,5835329.0
2024-07-11,139,142.1,136.3444,138.18,5994093.0
2024-07-12,133.95,137.46,132.2,135.75,8103603.0
2024-07-15,135.92,136.33,132.8001,133.72,5521771.0
2024-07-16,135,138.14,134.47,136.21,3704706.0
2024-07-17,134,138.4,133.26,135.1,6156168.0
2024-07-18,135.03,136.68,129.7505,129.84,3856843.0
2024-07-19,129.83,130.88,128.87,129.85,3411236.0
2024-07-22,130.69,132.65,129.62,131.15,3784968.0
2024-07-23,131.25,134.17,130.38,132.6,3254229.0
2024-07-24,131,131.8125,125.54,125.62,6000734.0
2024-07-25,126.27,132.99,125.5,129.59,5349140.0
2024-07-26,130.53,131.375,128.044,129,3377909.0
2024-07-29,130,130.57,128.4,129.57,3955310.0
2024-07-30,128.54,131.41,126.675,128.88,6475340.0
2024-07-31,129.35,132.55,128.77,130.38,5498317.0
2024-08-01,129.4,129.79,121.45,124.2,7684768.0
2024-08-02,120.9,121.6499,116.89,119.77,8260332.0
2024-08-05,107.93,115.71,107.93,112.63,6874151.0
2024-08-06,114.64,117.32,113.33,114.82,5342579.0
2024-08-07,117.51,121.53,115.05,115.1,5616914.0
2024-08-08,118.05,122.06,117.28,121.6,4556413.0
2024-08-09,121.06,124.63,120.47,124.41,3685865.0
2024-08-12,125.29,126.19,121.95,123.03,2662605.0
2024-08-13,123.27,127.77,122.85,127.06,3797623.0
2024-08-14,127.56,128.11,125.19,127.3,3289028.0
2024-08-15,124,128.655,123.99,127.05,8167942.0
2024-08-16,125,128.64,124.73,128.04,6255806.0
2024-08-19,128.56,132.66,128.25,131.42,5326410.0
2024-08-20,131.43,133.67,130.76,131.92,4929412.0
2024-08-21,132.76,135.72,130.66,135.06,16422974.0
2024-08-22,122.1,123.98,115.14,115.21,37236875.0
2024-08-23,117.13,117.3,113.24,115.86,16310005.0
2024-08-26,115.05,120.03,114.85,118,12690117.0
2024-08-27,117.83,118.982,115.32,115.54,6455841.0
2024-08-28,114.93,115.6799,110.26,111.56,7759474.0
2024-08-29,112.45,117.08,112.45,114.14,6871398.0
2024-08-30,115.38,115.92,112.531,114.23,5217236.0
2024-09-03,113.06,114.73,109.37,110.41,6238697.0
2024-09-04,110,112.87,109.4,110.8,3727650.0
2024-09-05,110.04,113.79,110,111.75,3891499.0
2024-09-06,112.28,112.6599,107.13,108.56,5651714.0
2024-09-09,109.32,111.49,108.64,109.96,3674555.0
2024-09-10,109.96,110.76,108.13,110.27,3380125.0
2024-09-11,110.27,112.31,108.86,112,4000917.0
2024-09-12,112.6,114.7254,111.35,112.99,4706131.0
2024-09-13,113.25,115.04,112.9,113.67,3235558.0
2024-09-16,112.36,113.8443,111.21,112.84,5435254.0
2024-09-17,114.08,114.39,111.28,111.63,4539470.0
2024-09-18,111.53,112.61,110.13,110.78,6484140.0
2024-09-19,112.91,115.01,111.6595,114.02,8518077.0
2024-09-20,113.28,113.585,109.34,110.27,20222034.0
2024-09-23,111.41,113.94,109.91,113.26,8335834.0
