date,open,high,low,close,volume,vwap,transactions
2024-10-01,888.83,891.2699,878.87,884.48,2455232,884.896,88209
2024-10-02,880,893.3499,878.7,891.07,1751600,888.6073,68065
2024-10-03,889.54,892,880.88,885.55,1974677,886.0962,72251
2024-10-04,885.91,888.97,876.89,887.16,1971436,883.4199,82904
2024-10-07,890.51,905.275,889.565,898.4,2915515,898.9612,83091
2024-10-08,903,921.9682,902.225,913.72,2200027,914.4557,88183
2024-10-09,916.285,921.35,912,919.74,1820128,917.0826,73286
2024-10-10,920,922,905.15,910.69,1682053,911.5239,71367
2024-10-11,916.04,932.24,911.1845,932.06,2293874,925.107,85975
2024-10-14,936,937,926,929.51,1550385,930.6713,67292
2024-10-15,924.44,926.52,907.8001,913.32,2284189,914.058,91105
2024-10-16,910.03,917.805,897.835,916.42,1645364,912.5115,68044
2024-10-17,921,930.51,916.04,917.12,2191188,918.9232,59783
2024-10-18,917.18,920.9199,905.62,917.97,2286912,916.3724,66606
2024-10-21,917.98,918.86,904.56,906.13,1592229,908.4219,68280
2024-10-22,901.675,911.12,900.2001,909.15,1391776,908.2483,58305
2024-10-23,905.62,907.9499,891.73,903.25,2646589,901.3071,79808
2024-10-24,898.33,900,888.28,891.32,1797145,892.6198,77434
2024-10-25,899.73,900.96,889.4501,892.7,2228327,894.5169,69334
2024-10-28,894.87,898.2099,890.78,895.59,2084102,895.2319,65184
2024-10-29,898.21,907.98,898.21,903.58,3069810,903.7841,95707
2024-10-30,798.5,860.5,769,846.83,18257230,822.6054,550910
2024-10-31,836.51,853.5,825.24,829.74,6582820,837.2028,184470
2024-11-01,828,833,816.73,818.93,5199537,822.7105,143463
2024-11-04,805,820.19,803.68,806.14,3918122,808.9942,127703
2024-11-05,803.825,809.21,797.49,806.06,3732937,803.6034,116270
2024-11-06,817.3299,820.73,767.61,776.38,8257862,776.8933,280112
2024-11-07,784.65,802.55,778.19,797.45,4557575,791.4535,155590
2024-11-08,803.5,847.27,801.26,831.54,7212870,829.2011,182286
2024-11-11,831.3,844,824.625,832.44,3342750,834.4658,98915
2024-11-12,830.2,833.99,810.7201,818.86,3378563,819.8967,109272
2024-11-13,820.32,829.105,811.29,811.81,3059268,817.5871,85297
2024-11-14,809.19,809.19,783.51,786.23,3998847,793.9579,134418
2024-11-15,775.19,777.98,744.2,746.2,7334562,754.6013,229008
2024-11-18,733.19,734,711.4001,727.2,9154351,722.0384,233891
2024-11-19,716.31,730,712.42,729.73,5832480,723.4047,143375
2024-11-20,735.785,757.37,735.46,753.41,5158855,749.5479,142873
2024-11-21,746.12,752.9999,735,749.92,4143204,746.3555,105850
2024-11-22,757.05,761.2799,745.0812,748.01,4015450,749.6826,93343
2024-11-25,750,755,740.01,755,5690465,751.9699,94852
2024-11-26,785.2,807,773.95,789.32,6622610,790.6942,183800
2024-11-27,788.12,794.83,780.3,788.19,2714656,788.3856,85227
2024-11-29,791.33,800.33,789.331,795.35,2204518,795.7993,58458
2024-12-02,798.11,805.35,795.2201,799.8,2895629,799.8574,85824
2024-12-03,802.93,817.13,801.61,813.33,2782067,812.5216,87865
2024-12-04,828.1,846.4629,820.5,829.84,3871090,832.9656,121507
2024-12-05,827.78,831.13,817.46,825.62,2423388,824.6865,83583
2024-12-06,827.68,841,825.6901,826.71,3047127,831.3458,84808
2024-12-09,823.7,823.7,801.28,803.58,3175956,806.5373,111537
2024-12-10,809.265,813.9999,797,799.58,2695247,802.9915,91063
2024-12-11,795.25,799.4999,786.3701,796.03,3510878,794.3105,103197
2024-12-12,796.73,801.8365,778.3901,782.35,2823840,786.0957,91018
2024-12-13,777.13,794.245,772.99,789.12,3050703,787.1975,87538
2024-12-16,792,799.7826,775.25,779,3426211,783.6673,96034
2024-12-17,777.86,788,772.43,778.62,3924764,779.6307,109043
2024-12-18,775,779,762.5,764.71,3354209,770.2325,101641
2024-12-19,765.1,772.97,752.395,757.54,3930450,758.0864,108618
2024-12-20,811.35,811.35,766.61,767.76,9926093,785.2985,198344
2024-12-23,785.17,799.36,773.07,796.28,3622297,788.8444,107843
2024-12-24,791.37,797.75,787.1,795.67,1165383,793.7897,45652
2024-12-26,794.12,803.9099,791.5,794.14,1274993,795.6905,52103
2024-12-27,790,793.295,779.22,783.17,2096535,784.3035,73045
2024-12-30,777.915,779.76,771,773.84,1719073,774.6035,64850
2024-12-31,771,773.91,764.3,772,2327004,769.9136,66938
2025-01-02,780.59,787,771.77,778.07,1941191,778.849,71439
2025-01-03,778.17,785.84,775.53,781.98,1799992,781.1696,59386
2025-01-06,783.715,784.765,763.35,765.1,3991077,769.4529,112143
2025-01-07,764.9,783.96,761.6202,773.29,3576092,772.9518,92091
2025-01-08,773.83,792.56,770.665,787.22,3478440,784.4647,85923
2025-01-10,791.93,800,784.86,799.9,3973129,795.0827,91775
2025-01-13,794.4,805.34,783.61,797.48,3683849,794.0813,91666
2025-01-14,784.225,784.225,729,744.91,10372975,744.0905,277058
2025-01-15,749,754.6,735.265,746.74,5736908,746.8844,131680
2025-01-16,747.5,765.51,746.4,757.6,3070254,758.3627,90942
2025-01-17,747.83,755.2799,725.01,725.72,5560101,736.053,162957
2025-01-21,731.27,743.28,726.53,742.35,5122833,737.0804,128251
