timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2022-01-03,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-04,0.0,1000000.0,0.0,996959.1770503159,0.003040822949684056
2022-01-05,0.0,1000000.0,0.0,976416.5619737732,0.020605272060709487
2022-01-06,0.0,1000000.0,0.0,973782.0445712119,0.0026981490330681905
2022-01-07,0.0,1000000.0,0.0,966339.804394992,0.007642613886454515
2022-01-10,0.0,1000000.0,0.0,964233.6210927332,0.0021795472903832843
2022-01-11,0.0,1000000.0,0.0,973003.43978602,-0.009095118134698876
2022-01-12,0.0,1000000.0,0.0,978792.1091726512,-0.005949279468019442
2022-01-13,0.0,1000000.0,0.0,960514.9649605263,0.01867316260607578
2022-01-14,0.0,1000000.0,0.0,961328.1981361993,-0.0008466637224192978
2022-01-18,0.0,1000000.0,0.0,943607.8514136719,0.01843319144999937
2022-01-19,0.0,1000000.0,0.0,935826.8203691727,0.0082460431341705
2022-01-20,0.0,1000000.0,0.0,927193.7266578849,0.009225097553714211
2022-01-21,0.0,1000000.0,0.0,906178.7625776858,0.022665127552090446
2022-01-24,0.0,1000000.0,0.0,906986.3195106188,-0.0008911673571293299
2022-01-25,-0.004668784188524122,995331.2158114759,-0.004668784188524121,896046.1781959101,0.0073932955577411235
2022-01-26,0.008363493902163954,1003655.6623655485,0.0,901475.0367740516,0.002304812206682557
2022-01-27,-0.01770106926166437,985889.8839711543,-0.01770106926166437,895278.5837697162,-0.010827386961476093
2022-01-28,0.027158804091087285,1012665.4741853117,0.0,925732.0783392218,-0.006856858878617728
2022-01-31,0.025155102793736006,1038139.1782841107,0.0,947211.804901878,0.0019521404407503475
2022-02-01,0.00417542264003834,1042473.8481126289,0.0,956388.7954025506,-0.005513002328043052
2022-02-02,0.0027431316370778447,1045333.491106213,0.0,968161.6367398292,-0.009566549732959
2022-02-03,-0.009405789824262989,1035501.3039926048,-0.009405789824262984,932847.1677283266,0.027070008917794097
