timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2022-01-03,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-04,0.0,1000000.0,0.0,1004196.5968454898,-0.00419659684548983
2022-01-05,0.0,1000000.0,0.0,971087.5117225639,0.03297072030211241
2022-01-06,0.0,1000000.0,0.0,984845.4929938498,-0.014167601894994426
2022-01-07,0.0,1000000.0,0.0,999793.348131591,-0.015177868248450672
2022-01-10,0.0,1000000.0,0.0,1006789.6594405363,-0.006997757408588738
2022-01-11,0.0,1000000.0,0.0,1005395.0736589067,0.0013851808752233094
2022-01-12,0.0,1000000.0,0.0,1039758.0813700478,-0.03417861158408569
2022-01-13,0.0,1000000.0,0.0,1033187.8703318508,0.006318980497405254
2022-01-14,0.0,1000000.0,0.0,1034949.1224523642,-0.0017046775045349869
2022-01-17,0.0,1000000.0,0.0,1045073.1846982011,-0.009782183516275163
2022-01-18,0.0,1000000.0,0.0,1037909.159063515,0.006855046842250415
2022-01-19,0.0,1000000.0,0.0,1034024.3831425295,0.0037428862507492776
2022-01-20,0.0,1000000.0,0.0,1073194.7139472768,-0.03788143823620858
2022-01-21,0.0,1000000.0,0.0,1076257.61125342,-0.002853999620327559
2022-01-24,0.0,1000000.0,0.0,1058886.692970854,0.01614011190344613
2022-01-25,0.0,1000000.0,0.0,1038342.1052527446,0.019402064313858453
2022-01-26,0.0,1000000.0,0.0,1044592.8219830047,-0.0060199010505680665
2022-01-27,0.0,1000000.0,0.0,1020228.3841982824,0.02332433965846144
2022-01-28,0.0,1000000.0,0.0,1005125.2567988194,0.014803673014186251
2022-01-31,0.0,1000000.0,0.0,1020177.7229968884,-0.014975711829199248
2022-02-04,0.0,1000000.0,0.0,1047823.3050109876,-0.027098790133239882
2022-02-07,0.0,1000000.0,0.0,1051668.9533674868,-0.0036701305822348282
2022-02-08,0.0,1000000.0,0.0,1044399.8140959215,0.0069120032956085705
2022-02-09,0.0,1000000.0,0.0,1068964.4203654048,-0.023520308925703507
2022-02-10,0.0,1000000.0,0.0,1071390.5473693355,-0.002269605009960355
2022-02-11,0.0,1000000.0,0.0,1065884.6846768458,0.005138987557813302
2022-02-14,0.0,1000000.0,0.0,1047234.3251281491,0.017497539665232258
2022-02-15,0.0,1000000.0,0.0,1036446.109436737,0.010301625369367058
2022-02-16,0.0,1000000.0,0.0,1060140.562139272,-0.0228612491154142
2022-02-17,0.0,1000000.0,0.0,1062311.0782783926,-0.0020473852398787073
2022-02-18,0.0,1000000.0,0.0,1042201.4822740855,0.0189300445185013
2022-02-21,0.0,1000000.0,0.0,1031769.8444853207,0.010009233306791036
2022-02-22,0.0,1000000.0,0.0,1003868.3806141556,0.0270423331523934
2022-02-23,0.0,1000000.0,0.0,1014550.5387796041,-0.010640994747651315
2022-02-24,0.0,1000000.0,0.0,974940.0109815166,0.039042439271418344
2022-02-25,0.0,1000000.0,0.0,968945.2667041973,0.006148833989574591
2022-02-28,0.0,1000000.0,0.0,963905.3182201287,0.005201479028027597
2022-03-01,0.0,1000000.0,0.0,971181.667203628,-0.007548821285616788
2022-03-02,0.0,1000000.0,0.0,954881.2585909764,0.0167840983444284
2022-03-03,0.0,1000000.0,0.0,955255.9575990248,-0.0003924037723824769
2022-03-04,0.0,1000000.0,0.0,918630.7498292723,0.038340726878906474
2022-03-07,0.0,1000000.0,0.0,880010.1722063358,0.04204145967257695
2022-03-08,0.0,1000000.0,0.0,861022.5995686874,0.021576537678017104
2022-03-09,0.0,1000000.0,0.0,862672.0112611392,-0.0019156427407109804
2022-03-10,0.0,1000000.0,0.0,873424.8438613912,-0.012464566439952574
2022-03-11,0.0,1000000.0,0.0,849975.641235156,0.02684741886041025
2022-03-14,0.0,1000000.0,0.0,790383.7583539797,0.07011010667856239
2022-03-15,0.0,1000000.0,0.0,731072.0197435569,0.07504169712943365
